sl,Area,Rainfall,Population,Groundwater,Temperature,Agricultural,Industrial,Residential
1,Brumado,1973.35,151675,57.13,29,15.09,7.99,86.9
2,Bambang,1874.54,212002,28.36,18,1.08,20.89,51.01
3,Tsurugi-asahimachi,953.37,147627,57.0,37,12.15,15.94,65.11
4,Louisville,1187.27,228367,21.35,36,20.36,12.36,50.28
5,Haokou,1228.56,189858,41.47,31,28.81,24.23,54.31
6,Peña Blanca,1239.18,137842,15.73,39,20.43,18.41,64.36
7,Athmuqam,992.42,215575,33.06,40,7.93,6.57,80.71
8,Guazhou,811.73,162757,55.07,20,38.22,8.01,80.67
9,Stryszawa,1765.5,120014,53.59,35,30.28,5.49,68.81
10,Longquan,1373.96,232699,56.26,32,20.91,18.79,80.29
11,Mizoch,1972.4,200998,34.4,22,5.33,4.98,72.87
12,Spånga,1037.08,193490,39.18,30,22.31,5.16,78.97
13,Doom,727.41,151223,30.42,39,22.57,19.61,69.53
14,Gaolong,1181.15,159154,38.01,38,7.52,3.49,78.85
15,Omu Aran,1956.34,116397,31.11,34,9.93,4.54,62.63
16,Donostia-San Sebastian,1892.68,207771,24.3,31,16.57,4.32,62.43
17,El Sombrero,1484.86,143095,47.09,20,13.96,6.74,87.1
18,Williston,1767.35,73104,59.05,27,48.61,24.71,66.87
19,Zagreb - Centar,1121.53,175851,36.28,29,15.22,21.83,52.01
20,Leuwayang,1515.74,73568,17.81,21,9.4,6.7,86.49
21,Al Wardānīn,813.25,178847,41.6,19,29.84,9.31,80.66
22,Dobříš,1734.09,202979,32.78,32,9.04,1.07,61.02
23,Pengjia Zhaizi,1333.46,151300,28.83,27,11.71,10.74,85.96
24,San Luis,942.96,180465,32.0,39,30.27,10.8,70.99
25,Kousa,1595.24,68955,33.91,26,5.81,4.79,89.55
26,Masallātah,1396.07,123576,46.12,35,43.75,15.94,57.04
27,Malabor,1796.46,156697,54.72,37,29.55,9.35,67.57
28,Lebao,1238.0,156042,19.26,23,10.84,3.11,58.97
29,Camino Real,1956.84,243191,53.74,33,11.26,17.28,58.95
30,Gjinoc,1534.13,122944,40.47,26,31.31,22.61,51.08
