sl,Area,Rainfall,Population,Groundwater,Temperature,Agricultural,Industrial,Residential
1,Byadgi,1973.35,151675,57.13,29,15.09,7.99,86.9
2,ISRO Layout,1874.54,212002,28.36,18,1.08,20.89,51.01
3,Mudabidri,953.37,147627,57,37,12.15,15.94,65.11
4,Sahakara Nagar,1187.27,228367,21.35,36,20.36,12.36,50.28
5,Raichur,1228.56,189858,41.47,31,28.81,24.23,54.31
6,Domlur,1239.18,137842,15.73,39,20.43,18.41,64.36
7,Old Airport Road,992.42,215575,33.06,40,7.93,6.57,80.71
8,Bhatkal,811.73,162757,55.07,20,38.22,8.01,80.67
9,Sakleshpur,1765.5,120014,53.59,35,30.28,5.49,68.81
10,Gadag,1373.96,232699,56.26,32,20.91,18.79,80.29
11,Hospet,1972.4,200998,34.4,22,5.33,4.98,72.87
12,Indiranagar,1037.08,193490,39.18,30,22.31,5.16,78.97
13,Chikkaballapur,727.41,151223,30.42,39,22.57,19.61,69.53
14,Terdal,1181.15,159154,38.01,38,7.52,3.49,78.85
15,Dodballapur,1956.34,116397,31.11,34,9.93,4.54,62.63
16,Chikballapur,1892.68,207771,24.3,31,16.57,4.32,62.43
17,Anekal,1484.86,143095,47.09,20,13.96,6.74,87.1
18,Bengaluru Rural,1767.35,73104,59.05,27,48.61,24.71,66.87
19,Hulimavu,1121.53,175851,36.28,29,15.22,21.83,52.01
20,Devanahalli,1515.74,73568,17.81,21,9.4,6.7,86.49
21,Srinivaspur,813.25,178847,41.6,19,29.84,9.31,80.66
22,Tumkur Road,1734.09,202979,32.78,32,9.04,1.07,61.02
23,Vidyaranyapura,1333.46,151300,28.83,27,11.71,10.74,85.96
24,Nelamangala,942.96,180465,32,39,30.27,10.8,70.99
25,Bijapur,1595.24,68955,33.91,26,5.81,4.79,89.55
26,Bellary,1396.07,123576,46.12,35,43.75,15.94,57.04
27,Vijayanagar,1796.46,156697,54.72,37,29.55,9.35,67.57
28,Majestic,1238,156042,19.26,23,10.84,3.11,58.97
